1.11,13.495
1.11,16.5
1.54,16.5
1.02,13.95
1.15,17.45
1.1,15.25
1.1,17.71
1.1,18.92
1.4,23.875
1.01,16.43
1.01,16.925
1.21,20.97
1.21,21.105
1.21,24.565
1.82,30.76
1.82,41.315
1.82,36.88
0.48,5.151
0.7,6.295
0.7,6.575
0.68,5.572
0.68,6.377
1.02,7.957
0.68,6.229
0.68,6.692
0.68,7.609
1.02,8.558
0.88,8.921
1.45,12.964
0.58,6.479
0.76,6.855
0.6,5.399
0.76,6.529
0.76,7.129
0.76,7.295
0.76,7.295
0.86,7.895
0.86,9.095
0.86,8.845
0.86,10.295
1.01,12.945
1,10.345
0.78,6.785
0.9,11.048
1.76,32.25
1.76,35.55
2.62,36
0.68,5.195
0.68,6.095
0.68,6.795
0.68,6.695
0.68,7.395
1.01,10.945
1.01,11.845
1.01,13.645
1.35,15.645
0.84,8.845
0.84,8.495
0.84,10.595
0.84,10.245
0.84,11.245
1.2,18.28
1.55,34.184
1.55,35.056
1.84,40.96
1.84,45.4
1.75,16.503
0.68,5.389
0.68,6.189
0.68,6.669
1.02,7.689
1.16,9.959
0.88,8.499
1.45,12.629
1.45,14.869
1.45,14.489
0.88,6.989
0.88,8.189
1.16,9.279
1.16,9.279
0.69,5.499
0.69,6.649
0.69,6.849
0.69,7.349
0.69,7.299
0.69,7.799
0.69,7.499
0.69,7.999
0.69,8.249
0.97,8.949
0.97,9.549
1.52,13.499
1.52,14.399
1.52,13.499
1.6,17.199
2,19.699
1.6,18.399
0.97,11.9
0.97,12.44
0.95,15.58
0.95,16.695
0.97,16.63
1.42,18.15
0.68,5.572
1.02,7.957
0.68,6.229
0.68,6.692
0.68,7.609
0.88,8.921
1.45,12.764
1.43,22.018
2.07,32.528
2.07,34.028
2.07,37.028
1.1,11.85
1.1,12.17
1.1,15.04
1.1,15.51
1.6,18.15
1.6,18.62
0.69,5.118
0.73,7.053
0.73,7.603
0.82,7.126
0.82,7.775
0.94,9.96
0.82,9.233
1.11,11.259
0.82,7.463
0.94,10.198
0.82,8.013
1.11,11.694
0.62,5.348
0.62,6.338
0.62,6.488
0.62,6.918
0.62,7.898
0.62,8.778
0.7,6.938
0.7,7.198
0.7,7.738
0.7,8.358
0.7,9.258
0.7,8.058
0.7,8.238
1.12,9.298
1.12,9.538
1.16,8.449
1.16,9.639
1.16,9.989
1.16,11.199
1.16,11.549
1.16,17.669
0.92,8.948
0.92,9.988
0.92,10.898
0.92,11.248
1.61,16.558
1.61,15.998
1.56,15.69
1.56,15.75
0.85,7.975
0.85,8.195
0.85,8.495
1,9.995
0.9,11.595
0.9,9.98
1.1,13.295
0.88,12.29
1.14,12.94
1.14,13.415
1.14,15.985
1.14,16.515
1.62,18.42
1.62,18.95
1.14,16.845
1.6,19.045
1.34,21.485
1.14,22.625
